symbol,side,timeframe,entry_time,entry,initial_stop,tp1,tp2,tp3,max_holding_hours,initial_notional,initial_risk_cash,exit_time,holding_days,exit_reason,entry_fee,exit_fees,net_pnl,net_return_on_notional,realized_r,tp1_hit,tp2_hit,tp3_hit,paper_only,test_year,selected_candidate
BNBUSDT,LONG,1d,2021-01-25 00:00:00+00:00,41.827,34.41692,49.23708,56.64716,64.05724,672,0.02782720668125272,0.0049298737103932195,2021-02-05 00:00:00+00:00,11.0,TP1+TP2+TP3,5.5654413362505445e-05,7.783884505927491e-05,0.010958722589962958,0.3938132459894325,2.2229215662988784,True,True,True,True,2021,TOP2
BNBUSDT,LONG,1d,2021-02-08 00:00:00+00:00,68.355,58.45855,78.25145,88.1479,98.04435000000001,672,0.0346877620591029,0.005022100838706882,2021-02-09 00:00:00+00:00,1.0,TP1+TP2+TP3,6.93755241182058e-05,9.197497789238677e-05,0.011138376385079895,0.3211039203423306,2.2178719111398535,True,True,True,True,2021,TOP2
ETHUSDT,LONG,1d,2021-01-18 00:00:00+00:00,1232.5,934.3240000000001,1530.676,1828.8519999999999,2127.0280000000002,672,0.020372153660994624,0.004928590093323109,2021-02-15 00:00:00+00:00,28.0,TP1+TP2+MAX_HOLD,4.074430732198925e-05,5.75179700418719e-05,0.008288569082577461,0.40685777363083125,1.6817322856299624,True,True,False,True,2021,TOP2
BTCUSDT,LONG,1d,2021-01-18 00:00:00+00:00,35824.99,28170.981,43478.998999999996,51133.008,58787.017,672,0.023068524064630638,0.004928590093323109,2021-02-15 00:00:00+00:00,28.0,TP1+MAX_HOLD,4.6137048129261273e-05,6.092165773857511e-05,0.0072852460987890815,0.3158089385509948,1.4781602772481721,True,False,False,True,2021,TOP2
BNBUSDT,LONG,1d,2021-02-15 00:00:00+00:00,135.8623,113.33338,158.39122,180.92014,203.44906,672,0.03085810908991882,0.005116944664105155,2021-02-19 00:00:00+00:00,4.0,TP1+TP2+TP3,6.171621817983764e-05,8.474246916831085e-05,0.011366666806888455,0.3683526678114533,2.2213777074089665,True,True,True,True,2021,TOP2
BNBUSDT,LONG,1d,2021-02-22 00:00:00+00:00,294.9167,230.74643999999998,359.08696,423.25722,487.42748000000006,672,0.02383363008100011,0.005185905847453191,2021-02-22 00:00:00+00:00,0.0,STOP,4.766726016200022e-05,3.729544846709384e-05,-0.005270868556082285,-0.22115257047159423,-1.0163833881925988,False,False,False,True,2021,TOP2
BTCUSDT,LONG,1d,2021-02-22 00:00:00+00:00,57412.35,50733.077,64091.623,70770.89600000001,77450.169,672,0.04457596531554095,0.00518590584745319,2021-02-22 00:00:00+00:00,0.0,STOP,8.91519306310819e-05,7.878011893617553e-05,-0.005353837897020444,-0.12010593285242628,-1.0323823946109099,False,False,False,True,2021,TOP2
ETHUSDT,LONG,1d,2021-02-15 00:00:00+00:00,1800.03,1525.974,2074.0860000000002,2348.142,2622.1980000000003,672,0.03360865627364189,0.005116944664105155,2021-02-23 00:00:00+00:00,8.0,STOP,6.721731254728378e-05,5.698342321907346e-05,-0.005241145399871516,-0.15594629422842965,-1.024272440669061,False,False,False,True,2021,TOP2
BTCUSDT,LONG,1d,2021-03-08 00:00:00+00:00,50959.11,42330.338,59587.882,68216.65400000001,76845.426,672,0.030159762743458173,0.005106873261471697,2021-03-25 00:00:00+00:00,17.0,TP1+STOP,6.031952548691635e-05,6.28729621176522e-05,0.0011535258277633545,0.038247178453469796,0.22587712063779153,True,False,False,True,2021,TOP2
BNBUSDT,LONG,1d,2021-03-01 00:00:00+00:00,210.1177,117.73823999999999,302.49716,394.87662000000006,487.2560800000001,672,0.011587357750091393,0.005094448738874726,2021-03-29 00:00:00+00:00,28.0,TP1+MAX_HOLD,2.3174715500182786e-05,3.056155935184027e-05,0.0036396856509767184,0.314108335090285,0.7144415102664594,True,False,False,True,2021,TOP2
SOLUSDT,LONG,1d,2021-03-01 00:00:00+00:00,13.08,8.83931,17.32069,21.56138,25.80207,672,0.015713336627879288,0.005094448738874727,2021-03-29 00:00:00+00:00,28.0,TP1+MAX_HOLD,3.142667325575858e-05,4.2955907535937254e-05,0.005690234559297644,0.36212770680428125,1.1169480450115425,True,False,False,True,2021,TOP2
ETHUSDT,LONG,1d,2021-03-08 00:00:00+00:00,1726.46,1386.566,2066.354,2406.248,2746.142,672,0.025939888350486995,0.005106873261471697,2021-04-05 00:00:00+00:00,28.0,TP1+MAX_HOLD,5.187977670097399e-05,6.230415729292881e-05,0.005098006361983506,0.1965315460537746,0.9982637322223978,True,False,False,True,2021,TOP2
SOLUSDT,LONG,1d,2021-03-29 00:00:00+00:00,18.0645,14.905729999999998,21.22327,24.38204,27.54081,672,0.029415734886502808,0.005143654177388718,2021-04-08 00:00:00+00:00,10.0,TP1+TP2+TP3,5.883146977300562e-05,8.197791357125486e-05,0.011432412515780354,0.3886495632317529,2.2226246402872,True,True,True,True,2021,TOP2
BNBUSDT,LONG,1d,2021-03-29 00:00:00+00:00,268.6234,218.61133999999998,318.63546,368.64752,418.65958,672,0.027627453729247704,0.0051436541773887175,2021-04-08 00:00:00+00:00,10.0,TP1+TP2+TP3,5.525490745849541e-05,7.840135125674462e-05,0.011439565640409367,0.4140651452181752,2.2240153101072004,True,True,True,True,2021,TOP2
BNBUSDT,LONG,1d,2021-04-12 00:00:00+00:00,525.9275,453.89458,597.96042,669.99334,742.02626,672,0.0387123793653988,0.005302186567231077,2021-04-14 00:00:00+00:00,2.0,TP1+STOP,7.74247587307976e-05,8.007585201441313e-05,0.0011680460310625567,0.03017241642621839,0.22029515865801325,True,False,False,True,2021,TOP2
ETHUSDT,LONG,1d,2021-04-05 00:00:00+00:00,2075.7,1849.9669999999999,2301.433,2527.1659999999997,2752.899,672,0.04828892495704654,0.005251435129030682,2021-04-16 00:00:00+00:00,11.0,TP1+TP2+STOP,9.657784991409309e-05,0.00010970643773666981,0.006358009623637596,0.13166600062629485,1.2107184926439656,True,True,False,True,2021,TOP2
BTCUSDT,LONG,1d,2021-04-05 00:00:00+00:00,58202.01,52027.485,64376.535,70551.06000000001,76725.585,672,0.049500824742663596,0.005251435129030682,2021-04-18 00:00:00+00:00,13.0,TP1+STOP,9.90016494853272e-05,0.00010162736704984253,0.0011122297657224995,0.022468913831326428,0.21179539276300585,True,False,False,True,2021,TOP2
SOLUSDT,LONG,1d,2021-04-12 00:00:00+00:00,27.8598,23.047710000000002,32.67189,37.48398,42.29607,672,0.030697234949002294,0.005302186567231078,2021-04-18 00:00:00+00:00,6.0,STOP,6.139446989800458e-05,5.079009676354243e-05,-0.0054143711338926264,-0.17637976654534487,-1.02115817035841,False,False,False,True,2021,TOP2
BNBUSDT,LONG,1d,2021-04-19 00:00:00+00:00,481.5112,376.03666999999996,586.98573,692.46026,797.93479,672,0.024208447927990446,0.005302835463088432,2021-04-22 00:00:00+00:00,3.0,TP1+STOP,4.8416895855980895e-05,5.106831358752511e-05,0.001226223656328599,0.050652716769620194,0.231239242639905,True,False,False,True,2021,TOP2
