time,symbol,event,price,fee
2020-11-18 00:00:00+00:00,BTCUSDT,INTRADAY_BARRIER,17776.12,3.3812317612641083e-05
2020-11-20 00:00:00+00:00,ETHUSDT,INTRADAY_BARRIER,510.12,7.682420367835568e-05
2020-11-23 00:00:00+00:00,ETHUSDT,ENTRY,560.03,0.0001000338169505095
2020-11-24 00:00:00+00:00,BNBUSDT,INTRADAY_BARRIER,33.9407,5.937167150825137e-05
2020-11-24 00:00:00+00:00,ETHUSDT,INTRADAY_BARRIER,604.97,2.7745527582960476e-05
2020-11-25 00:00:00+00:00,BNBUSDT,INTRADAY_BARRIER,31.2953,5.6673650364572754e-05
2020-11-25 00:00:00+00:00,ETHUSDT,INTRADAY_BARRIER,569.5,7.502536271288213e-05
2020-11-26 00:00:00+00:00,BTCUSDT,INTRADAY_BARRIER,17149.47,6.222859293792496e-05
2020-11-30 00:00:00+00:00,BTCUSDT,ENTRY,18185.0,0.0001015655939109114
2020-11-30 00:00:00+00:00,ETHUSDT,ENTRY,576.32,8.241503472192994e-05
2020-11-30 00:00:00+00:00,BNBUSDT,ENTRY,30.1003,9.153001830766788e-05
2020-12-14 00:00:00+00:00,BNBUSDT,EARLY_RISK_OFF,29.1599,8.867041793104271e-05
2020-12-16 00:00:00+00:00,BTCUSDT,INTRADAY_BARRIER,21335.52,2.81337518939939e-05
2020-12-17 00:00:00+00:00,BTCUSDT,INTRADAY_BARRIER,22797.16,3.087610531025995e-05
2020-12-17 00:00:00+00:00,ETHUSDT,INTRADAY_BARRIER,642.7,2.3346112096748536e-05
2020-12-19 00:00:00+00:00,BTCUSDT,INTRADAY_BARRIER,23821.61,6.7236917453052e-05
2020-12-21 00:00:00+00:00,BTCUSDT,ENTRY,23455.54,0.00012576042637673827
2020-12-21 00:00:00+00:00,BNBUSDT,ENTRY,34.3072,0.00011727104088886941
2020-12-22 00:00:00+00:00,BNBUSDT,INTRADAY_BARRIER,33.5151,0.00010615081525696554
2020-12-23 00:00:00+00:00,ETHUSDT,INTRADAY_BARRIER,585.56,6.181127604144745e-05
2020-12-26 00:00:00+00:00,BTCUSDT,INTRADAY_BARRIER,26493.39,3.422016300216053e-05
2020-12-27 00:00:00+00:00,BTCUSDT,INTRADAY_BARRIER,26281.66,3.7000219410136494e-05
2020-12-28 00:00:00+00:00,ETHUSDT,ENTRY,685.1,8.933562783924056e-05
2020-12-28 00:00:00+00:00,BNBUSDT,ENTRY,33.6741,8.710112819227196e-05
2020-12-29 00:00:00+00:00,BNBUSDT,INTRADAY_BARRIER,39.0667,2.455184535792195e-05
2021-01-02 00:00:00+00:00,BTCUSDT,INTRADAY_BARRIER,32178.33,7.956055163622492e-05
2021-01-02 00:00:00+00:00,ETHUSDT,INTRADAY_BARRIER,774.56,2.5110470269664103e-05
2021-01-03 00:00:00+00:00,ETHUSDT,INTRADAY_BARRIER,978.28,8.92142273582621e-05
2021-01-04 00:00:00+00:00,BTCUSDT,ENTRY,33000.05,0.0001042226084314507
2021-01-04 00:00:00+00:00,ETHUSDT,ENTRY,978.33,9.48959264559442e-05
2021-01-04 00:00:00+00:00,BNBUSDT,INTRADAY_BARRIER,41.1333,2.732840866777592e-05
2021-01-04 00:00:00+00:00,BTCUSDT,INTRADAY_BARRIER,31988.71,9.286241185701539e-05
2021-01-04 00:00:00+00:00,ETHUSDT,INTRADAY_BARRIER,1041.43,2.6564030757594868e-05
2021-01-05 00:00:00+00:00,ETHUSDT,INTRADAY_BARRIER,1099.56,7.117194484195814e-05
2021-01-11 00:00:00+00:00,BTCUSDT,ENTRY,38150.02,7.617406133833432e-05
2021-01-11 00:00:00+00:00,ETHUSDT,ENTRY,1254.24,6.58311389422265e-05
2021-01-11 00:00:00+00:00,BNBUSDT,INTRADAY_BARRIER,38.1674,4.910369071584391e-05
2021-01-11 00:00:00+00:00,BTCUSDT,INTRADAY_BARRIER,35404.47,6.484996542533178e-05
2021-01-11 00:00:00+00:00,ETHUSDT,INTRADAY_BARRIER,1087.01,5.450704302922396e-05
2021-01-18 00:00:00+00:00,BTCUSDT,ENTRY,35824.99,5.2324216782750885e-05
2021-01-18 00:00:00+00:00,ETHUSDT,ENTRY,1232.5,4.620828716665721e-05
2021-01-18 00:00:00+00:00,BNBUSDT,ENTRY,45.8645,7.183320051866365e-05
2021-01-21 00:00:00+00:00,BNBUSDT,INTRADAY_BARRIER,38.6343,6.065413176880143e-05
2021-01-25 00:00:00+00:00,BNBUSDT,ENTRY,41.827,6.279491427148568e-05
2021-02-01 00:00:00+00:00,BNBUSDT,INTRADAY_BARRIER,51.4781,1.847991857877855e-05
2021-02-02 00:00:00+00:00,ETHUSDT,INTRADAY_BARRIER,1511.87,1.4346838979129857e-05
2021-02-04 00:00:00+00:00,BNBUSDT,INTRADAY_BARRIER,55.9599,2.1261108589685684e-05
2021-02-05 00:00:00+00:00,BNBUSDT,INTRADAY_BARRIER,67.7005,4.8084597201185635e-05
2021-02-08 00:00:00+00:00,BNBUSDT,ENTRY,68.355,7.827945431288102e-05
2021-02-08 00:00:00+00:00,BTCUSDT,INTRADAY_BARRIER,46374.87,1.5875821383153276e-05
2021-02-08 00:00:00+00:00,BNBUSDT,INTRADAY_BARRIER,79.8374,2.2403192177571842e-05
2021-02-09 00:00:00+00:00,BNBUSDT,INTRADAY_BARRIER,107.3469,8.137621952947346e-05
2021-02-10 00:00:00+00:00,ETHUSDT,INTRADAY_BARRIER,1740.78,1.714160616659541e-05
2021-02-15 00:00:00+00:00,BTCUSDT,MAX_HOLD,48580.47,5.321568220300814e-05
2021-02-15 00:00:00+00:00,ETHUSDT,MAX_HOLD,1800.03,3.3742922169816627e-05
2021-02-15 00:00:00+00:00,BTCUSDT,ENTRY,48580.47,8.676616284719256e-05
2021-02-15 00:00:00+00:00,ETHUSDT,ENTRY,1800.03,7.58472117995707e-05
2021-02-15 00:00:00+00:00,BNBUSDT,ENTRY,135.8623,6.963984268876901e-05
2021-02-17 00:00:00+00:00,BNBUSDT,INTRADAY_BARRIER,165.3233,2.0296910261496756e-05
2021-02-18 00:00:00+00:00,BNBUSDT,INTRADAY_BARRIER,195.6,2.3183859850801266e-05
2021-02-19 00:00:00+00:00,BTCUSDT,INTRADAY_BARRIER,55906.0,2.4578490301102643e-05
2021-02-19 00:00:00+00:00,BNBUSDT,INTRADAY_BARRIER,333.111,5.214161888021154e-05
2021-02-22 00:00:00+00:00,BNBUSDT,ENTRY,294.9167,5.412024494467456e-05
2021-02-22 00:00:00+00:00,BTCUSDT,INTRADAY_BARRIER,54087.67,6.507462213539442e-05
2021-02-22 00:00:00+00:00,BNBUSDT,INTRADAY_BARRIER,267.5147,4.234434283616917e-05
2021-02-23 00:00:00+00:00,ETHUSDT,INTRADAY_BARRIER,1577.89,6.429941344235269e-05
2021-03-01 00:00:00+00:00,BTCUSDT,ENTRY,45134.11,6.214584016582462e-05
2021-03-01 00:00:00+00:00,ETHUSDT,ENTRY,1418.67,4.997609627043279e-05
2021-03-01 00:00:00+00:00,SOLUSDT,ENTRY,13.08,3.568576265786562e-05
2021-03-01 00:00:00+00:00,BNBUSDT,ENTRY,210.1177,2.63154610821412e-05
2021-03-08 00:00:00+00:00,ETHUSDT,INTRADAY_BARRIER,1833.18,1.5386460169396886e-05
2021-03-09 00:00:00+00:00,BTCUSDT,INTRADAY_BARRIER,54884.5,1.8428896143244843e-05
2021-03-11 00:00:00+00:00,BNBUSDT,INTRADAY_BARRIER,290.0301,9.471301372323987e-06
2021-03-28 00:00:00+00:00,SOLUSDT,INTRADAY_BARRIER,18.0645,1.1813876766255093e-05
2021-03-29 00:00:00+00:00,BTCUSDT,MAX_HOLD,55777.65,5.760081878858319e-05
2021-03-29 00:00:00+00:00,ETHUSDT,MAX_HOLD,1687.16,4.457573145108978e-05
2021-03-29 00:00:00+00:00,SOLUSDT,MAX_HOLD,18.0645,3.696361579891132e-05
2021-03-29 00:00:00+00:00,BNBUSDT,MAX_HOLD,268.6234,2.5232103108587886e-05
2021-03-29 00:00:00+00:00,BTCUSDT,ENTRY,55777.65,8.947842585989227e-05
2021-03-29 00:00:00+00:00,ETHUSDT,ENTRY,1687.16,9.047470238326005e-05
2021-03-29 00:00:00+00:00,SOLUSDT,ENTRY,18.0645,6.743974390923242e-05
2021-03-29 00:00:00+00:00,BNBUSDT,ENTRY,268.6234,6.333985574569288e-05
