symbol,side,timeframe,entry_time,entry,initial_stop,tp1,tp2,tp3,max_holding_hours,initial_notional,initial_risk_cash,exit_time,holding_days,exit_reason,entry_fee,exit_fees,net_pnl,net_return_on_notional,realized_r,tp1_hit,tp2_hit,tp3_hit,paper_only
BTCUSDT,LONG,1d,2021-02-15 00:00:00+00:00,48580.47,42114.845,55046.095,61511.72,67977.345,672,0.04338308142359628,0.00577389917860901,2021-02-22 00:00:00+00:00,7.0,TP1+STOP,8.676616284719256e-05,8.965311243649707e-05,0.0012670555193685616,0.029206213062574288,0.21944538347027526,True,False,False,True
BNBUSDT,LONG,1d,2021-02-22 00:00:00+00:00,294.9167,230.74643999999998,359.08696,423.25722,487.42748000000006,672,0.02706012247233728,0.005887951054252698,2021-02-22 00:00:00+00:00,0.0,STOP,5.412024494467456e-05,4.234434283616917e-05,-0.005984415642033538,-0.22115257047159412,-1.0163833881925983,False,False,False,True
ETHUSDT,LONG,1d,2021-02-15 00:00:00+00:00,1800.03,1525.974,2074.0860000000002,2348.142,2622.1980000000003,672,0.03792360589978535,0.005773899178609009,2021-02-23 00:00:00+00:00,8.0,STOP,7.58472117995707e-05,6.429941344235269e-05,-0.005914045803850933,-0.15594629422842954,-1.0242724406690602,False,False,False,True
BTCUSDT,LONG,1d,2021-03-01 00:00:00+00:00,45134.11,36731.454,53536.766,61939.422000000006,70342.07800000001,672,0.03107292008291231,0.005784872203577376,2021-03-29 00:00:00+00:00,28.0,TP1+MAX_HOLD,6.214584016582462e-05,7.602971493182804e-05,0.006803761827904054,0.2189611343172602,1.1761300143668851,True,False,False,True
ETHUSDT,LONG,1d,2021-03-01 00:00:00+00:00,1418.67,1090.2400000000002,1747.1,2075.5299999999997,2403.96,672,0.024988048135216396,0.005784872203577376,2021-03-29 00:00:00+00:00,28.0,TP1+MAX_HOLD,4.997609627043279e-05,5.996219162048667e-05,0.004883109387136014,0.1954177997702071,0.8441170721310473,True,False,False,True
SOLUSDT,LONG,1d,2021-03-01 00:00:00+00:00,13.08,8.83931,17.32069,21.56138,25.80207,672,0.01784288132893281,0.005784872203577377,2021-03-29 00:00:00+00:00,28.0,TP1+MAX_HOLD,3.568576265786562e-05,4.877749256516641e-05,0.006461401698427366,0.3621277068042813,1.1169480450115425,True,False,False,True
BNBUSDT,LONG,1d,2021-03-01 00:00:00+00:00,210.1177,117.73823999999999,302.49716,394.87662000000006,487.2560800000001,672,0.0131577305410706,0.005784872203577376,2021-03-29 00:00:00+00:00,28.0,TP1+MAX_HOLD,2.63154610821412e-05,3.4703404480911875e-05,0.004132952833822285,0.31410833509028535,0.71444151026646,True,False,False,True
SOLUSDT,LONG,1d,2021-03-29 00:00:00+00:00,18.0645,14.905729999999998,21.22327,24.38204,27.54081,672,0.03371987195461621,0.0058962783323138245,2021-04-08 00:00:00+00:00,10.0,TP1+TP2+TP3,6.743974390923242e-05,9.397299640464463e-05,0.013105213507392226,0.388649563231753,2.2226246402872003,True,True,True,True
BNBUSDT,LONG,1d,2021-03-29 00:00:00+00:00,268.6234,218.61133999999998,318.63546,368.64752,418.65958,672,0.03166992787284644,0.005896278332313824,2021-04-08 00:00:00+00:00,10.0,TP1+TP2+TP3,6.333985574569288e-05,8.987310824110508e-05,0.013113413283719302,0.4140651452181754,2.2240153101072018,True,True,True,True
ETHUSDT,LONG,1d,2021-03-29 00:00:00+00:00,1687.16,1467.2540000000001,1907.066,2126.9719999999998,2346.8779999999997,672,0.045237351191630026,0.005896278332313823,2021-04-14 00:00:00+00:00,16.0,TP1+TP2+TP3,9.047470238326005e-05,0.00011700795487867224,0.013059143590444165,0.2886805537115624,2.214811251170954,True,True,True,True
BNBUSDT,LONG,1d,2021-04-12 00:00:00+00:00,525.9275,453.89458,597.96042,669.99334,742.02626,672,0.04451081706424946,0.006096361427618285,2021-04-14 00:00:00+00:00,2.0,TP1+STOP,8.902163412849892e-05,9.206981484230806e-05,0.0013429989079337633,0.030172416426218415,0.2202951586580134,True,False,False,True
BTCUSDT,LONG,1d,2021-03-29 00:00:00+00:00,55777.65,48426.592,63128.708000000006,70479.766,77830.82400000001,672,0.044739212929946134,0.0058962783323138245,2021-04-18 00:00:00+00:00,20.0,TP1+STOP,8.947842585989227e-05,9.24265650260492e-05,0.0012921645921925233,0.028882148512890234,0.2191491851921194,True,False,False,True
SOLUSDT,LONG,1d,2021-04-12 00:00:00+00:00,27.8598,23.047710000000002,32.67189,37.48398,42.29607,672,0.03529514412680561,0.006096361427618286,2021-04-18 00:00:00+00:00,6.0,STOP,7.059028825361122e-05,5.839756539837465e-05,-0.0062253492812702725,-0.17637976654534485,-1.0211581703584098,False,False,False,True
BNBUSDT,LONG,1d,2021-04-19 00:00:00+00:00,481.5112,376.03666999999996,586.98573,692.46026,797.93479,672,0.027732229892436178,0.006074716255315883,2021-04-22 00:00:00+00:00,3.0,TP1+STOP,5.5464459784872355e-05,5.8501817912530294e-05,0.0014047127861315676,0.05065271676962031,0.2312392426399055,True,False,False,True
